event,n_windows,n_fire,evaluable,in_primary,in_sensitivity,d7_restored,block,volatility_V,vol_tertile,MAE_M2_t1,MAE_M2_t3,MAE_M2_t6,MAE_M2_t12,MAE_B6_t1,MAE_B6_t3,MAE_B6_t6,MAE_B6_t12,MAE_M1_t1,MAE_M1_t3,MAE_M1_t6,MAE_M1_t12,MAE_B1_t1,MAE_B1_t3,MAE_B1_t6,MAE_B1_t12,SS_M2_t1,SS_B6_t1,SS_M1_t1,SS_M2_t3,SS_B6_t3,SS_M1_t3,SS_M2_t6,SS_B6_t6,SS_M1_t6,SS_M2_t12,SS_B6_t12,SS_M1_t12,n_fire_calm,SS_M2_t6_calm,SS_B6_t6_calm,n_fire_exc,SS_M2_t6_exc,SS_B6_t6_exc
fr_coustouge_2025_0805,181,133,True,True,True,False,A2025,1.114590777387728,high,222.3855438232422,243.2292938232422,242.5502777099609,233.06124877929688,183.81744384765625,242.97923278808597,294.1544189453125,237.34104919433597,189.5979461669922,251.53585815429688,260.7218322753906,249.9653778076172,217.9044952392578,339.4962463378906,432.0977478027344,429.5797119140625,-0.0205642778459627,0.1564311528046917,0.1299034654663053,0.2835582235534845,0.2842947885018562,0.2590909005104267,0.4386680353152582,0.3192410271955344,0.3966137671367405,0.4574668162496444,0.4475040542840718,0.4181164266490713,111,0.4010921168631638,0.2646178881341836,22,0.680756026534105,0.6711575334676061
gr_n37e21_2025_0808,301,132,True,True,True,False,A2025,1.0923623257834318,high,722.644775390625,771.0186157226562,753.5982055664062,756.4393310546875,322.5467834472656,549.5952758789062,797.2731323242188,773.1080322265625,516.3023071289062,759.7376708984375,876.8416137695312,821.6630249023438,512.2484741210938,858.7120971679688,1324.2318115234375,1470.5469970703125,-0.4107309477700744,0.370331392395682,-0.0079138020172104,0.1021220985875539,0.3599772523393222,0.1152591498314147,0.4309167027943216,0.3979353725032395,0.337848852338938,0.4856068302735657,0.4742717956197375,0.4412534747007089,118,0.5136254739303729,0.4613123116896847,14,0.1930029103690472,0.2156300348266456
it_custonaci_2025_0720,325,183,True,False,False,False,A2025,1.1989138239059,high,99.47218322753906,111.29740142822266,117.1198272705078,114.90756225585938,111.59080505371094,117.70487213134766,119.71350860595705,114.80492401123048,107.57964324951172,109.26953125,121.32395935058594,119.14485168457033,128.7655792236328,162.42459106445312,185.46066284179688,197.06939697265625,0.2274939946895173,0.1333801647418033,0.1645310501599698,0.3147749321772479,0.27532603677826,0.3272599269981243,0.3684923504753442,0.3545072751730862,0.3458237585720338,0.4169182835029276,0.4174391063511506,0.395416774421338,127,0.3263913433696452,0.3111529689878152,56,0.474285104028889,0.4634495518813377
it_niscemi_2025_0716,349,197,True,True,True,False,A2025,1.152766417570988,high,228.05772399902344,266.8598022460937,269.0859069824219,268.7211303710937,190.1610412597656,266.319091796875,271.1717224121094,269.83966064453125,223.05030822753903,269.3128662109375,277.36767578125,276.6631774902344,259.68121337890625,400.5101623535156,477.5670166015625,494.4319458007813,0.121778117748319,0.2677135215696266,0.14106105202889,0.3337002969464071,0.3350503512023125,0.3275754487017862,0.4365483845654229,0.4321807976987032,0.41920680001094,0.4565053236277575,0.45424307038353,0.4404423503781676,148,0.3421325216311471,0.3375371941859278,49,0.7449548371189121,0.7413311735296515
me_n_a_2025_0810,373,130,True,True,True,False,A2025,1.0741930863862412,mid,227.431640625,233.95779418945312,197.62762451171875,183.05039978027344,152.0454864501953,188.4796295166016,188.65367126464844,154.65106201171875,216.4534149169922,257.8993835449219,300.7845764160156,338.6952819824219,210.3553771972656,255.27154541015625,308.3961486816406,283.90692138671875,-0.0811781645672917,0.2771970535005096,-0.0289892172045975,0.08349442624503,0.2616504545629522,-0.0102942853679337,0.3591760942652657,0.3882748793358088,0.0246811521420212,0.3552450257775343,0.4552754781167749,-0.1929800102374894,107,0.4119889974768831,0.4447578765940535,23,0.1760831561902381,0.1924584197933967
mk_jegunovce_2025_0811,229,147,True,True,True,False,A2025,1.0043360991426216,mid,237.34295654296875,261.0021667480469,261.29669189453125,257.5894470214844,182.1793212890625,247.8430633544922,256.3940734863281,250.1307373046875,210.4349822998047,245.32769775390625,262.9083251953125,263.4059753417969,267.6367492675781,363.2544250488281,418.4054565429688,466.3890686035156,0.1131899591797919,0.3193037884833855,0.2137291202509121,0.2814893673684405,0.3177149505579251,0.3246394790072284,0.3754940624974927,0.3872114489023224,0.3716422166967777,0.4476940726917743,0.4636865352491196,0.435222664779645,125,0.4115889342192628,0.4320555390598031,22,0.322212019512655,0.3210139669724128
mk_makedonski_brod_2025_0702,349,181,True,True,True,False,A2025,0.9756040185719403,mid,157.5753936767578,179.67979431152344,184.927490234375,184.61329650878903,138.3856964111328,179.26998901367188,186.3173828125,184.81211853027344,147.50015258789062,181.79454040527344,191.3984375,188.43405151367188,180.56077575683597,274.87237548828125,319.66851806640625,335.59002685546875,0.127299974115269,0.2335783016489748,0.1830996961015972,0.346315561931818,0.3478064549221507,0.3386220056404906,0.4215023382566589,0.4171544200239467,0.4012596590439353,0.4498844371549279,0.4492919820592047,0.4384992507693732,142,0.6510346040337869,0.6511296993870465,39,0.226321492718987,0.2181954719517621
mk_vasilevo_2025_0701,565,385,True,True,True,False,A2025,0.9246789573678716,mid,184.06753540039065,208.73599243164065,234.9328765869141,243.2467498779297,145.8125457763672,206.4607086181641,235.02093505859372,239.9051513671875,156.77310180664062,198.1495513916016,233.6833648681641,246.31137084960935,174.695068359375,250.56805419921875,320.6849060058594,370.792724609375,-0.0536504386130407,0.1653310700425266,0.1025899970791739,0.1669489029687669,0.1760294053526325,0.2091986665065487,0.2674027614426558,0.2671281664429208,0.2712991460100267,0.3439818698325682,0.3529939088747649,0.3357168183138033,333,0.2339783444059434,0.2334749646567436,52,0.4175337293660418,0.4182863491534659
pt_entre_ambos_os_rio_2025_0726,181,168,True,True,True,False,A2025,1.129784777885202,high,931.4756469726562,1039.6583251953125,1197.1419677734375,1153.4154052734375,656.9616088867188,877.0465087890625,1136.9669189453125,1059.0555419921875,872.375,1082.4287109375,1117.331298828125,1137.34765625,987.0969848632812,1276.5784912109375,1567.4935302734375,1635.8154296875,0.0563484021768426,0.3344507997076783,0.1162215938479144,0.1855899716678503,0.3129709494344423,0.1520860500236619,0.2362699145784639,0.2746592588825696,0.2871860219842725,0.2948988105010223,0.3525824963061356,0.3047212811366655,141,0.1695998797271037,0.2440305788574399,27,0.5977350201241616,0.4407191796758867
pt_ervededo_2025_0819,181,130,True,False,False,False,A2025,1.2680483097791828,high,320.72723388671875,406.8399658203125,642.8981323242188,801.763671875,242.42044067382807,387.600830078125,642.8202514648438,799.7340087890625,303.75408935546875,388.7310180664063,650.9990234375,810.6318359375,333.71307373046875,416.4407653808594,843.1284790039062,1092.8070068359375,0.0389131888019416,0.2735662467044227,0.089774679907198,0.0230544181998282,0.0692533913589332,0.0665394687984278,0.2374849760931392,0.2375773473761814,0.2278768424397109,0.2663263807244527,0.2681836739823118,0.2582113485119705,106,0.2021136900619057,0.2035184004635782,24,0.2945856609014742,0.2925596712408486
