event,block,n_fire,peak_utc,SS_M2,SS_B6,M2_wins,worst_day_M2,worst_day_share_M2,worst_day_is_postpeak,postpeak_n,postpeak_bias_M2,postpeak_bias_B6,postpeak_dAE,total_dAE,rest_dAE,decided_by_postpeak
tr_n_a_2025_0726,A2025,88,2025-07-27 16:00:00,0.40028005838394165,0.42700427770614624,False,2025-07-28,0.9213364015808917,True,24,-3004.147216796875,-2820.148681640625,-1692.934326171875,-3489.672607421875,-1796.73828125,False
tr_n_a_2025_0808,A2025,139,2025-08-08 14:00:00,0.4375712275505066,0.4018295407295227,True,2025-08-16,0.5823687814414426,False,1,0.0,1.0474575757980347,1.0474575757980347,7687.779296875,7686.731839299202,False
al_puke_2026_0814,B2026,111,2026-08-21 12:00:00,0.34498798847198486,0.40880483388900757,False,2026-08-21,0.30377870290486136,False,0,,,0.0,-2390.67724609375,-2390.67724609375,False
ba_n_a_2026_0810,B2026,151,2026-08-19 14:00:00,0.03221970796585083,0.16429930925369263,False,2026-08-19,0.49585713467206205,False,0,,,0.0,-9155.73828125,-9155.73828125,False
dz_n_a_2026_0706,B2026,137,2026-07-15 21:00:00,0.3070827126502991,0.33171528577804565,False,2026-07-14,0.34797971996336796,False,0,,,0.0,-7450.52197265625,-7450.52197265625,False
dz_n_a_2026_0708,B2026,170,2026-07-17 13:00:00,0.3288119435310364,0.32539016008377075,True,2026-07-17,0.4183478206385713,False,0,,,0.0,1464.574951171875,1464.574951171875,False
dz_n_a_2026_0712,B2026,168,2026-07-12 15:00:00,0.4003032445907593,0.43660402297973633,False,2026-07-21,0.3229248582968356,False,1,-235.20562744140625,-230.38870239257812,-4.816925048828125,-4828.90673828125,-4824.089813232422,False
dz_n_a_2026_0716,B2026,117,2026-07-16 16:00:00,0.42528820037841797,0.4304179549217224,False,2026-07-22,0.44789919053329486,False,1,-41.20000076293945,-40.57157516479492,-0.6284255981445312,-504.94146728515625,-504.3130416870117,False
es_fermoselle_2026_0729,B2026,44,2026-07-29 15:00:00,0.05567789077758789,0.03666961193084717,True,2026-08-05,0.5173705782870872,False,0,,,0.0,48.72777557373047,48.72777557373047,False
es_gallardos_los_2026_0709,B2026,32,2026-07-09 18:00:00,0.29250186681747437,-0.1257723569869995,True,2026-07-13,0.49839809539297913,False,1,-98.9698715209961,-87.22239685058594,-11.747474670410156,407.8173522949219,419.56482696533203,False
