event,n_windows,n_fire,evaluable,in_primary,in_sensitivity,d7_restored,block,volatility_V,vol_tertile,MAE_M2_t1,MAE_M2_t3,MAE_M2_t6,MAE_M2_t12,MAE_B6_t1,MAE_B6_t3,MAE_B6_t6,MAE_B6_t12,MAE_M1_t1,MAE_M1_t3,MAE_M1_t6,MAE_M1_t12,MAE_B1_t1,MAE_B1_t3,MAE_B1_t6,MAE_B1_t12,SS_M2_t1,SS_B6_t1,SS_M1_t1,SS_M2_t3,SS_B6_t3,SS_M1_t3,SS_M2_t6,SS_B6_t6,SS_M1_t6,SS_M2_t12,SS_B6_t12,SS_M1_t12,n_fire_calm,SS_M2_t6_calm,SS_B6_t6_calm,n_fire_exc,SS_M2_t6_exc,SS_B6_t6_exc
es_navaluenga_2026_0722,178,112,True,True,True,False,B2026,0.6595318613906686,low,7728.2734375,9228.1669921875,9178.2880859375,7824.28955078125,3613.063720703125,7263.15966796875,8657.669921875,7823.85986328125,4399.34326171875,6277.55810546875,7675.74560546875,7132.90234375,4214.14892578125,7022.7509765625,9768.5673828125,11438.7294921875,-0.8338871201774807,0.14263501733429873,-0.04394584510398314,-0.3140387610190485,-0.03423283727538995,0.10611124808223049,0.06042639352763013,0.11372163567117233,0.21424039936767048,0.31598263984429953,0.31602020411227993,0.37642529717818074,79,0.25500080486850296,0.2827207846876467,33,-0.3637714303057009,-0.25471901364015825
es_niebla_2026_0807,181,151,True,True,True,False,B2026,0.7544409313589949,low,4934.57470703125,6636.865234375,7168.73828125,7602.69873046875,2999.73583984375,5395.22998046875,7314.29150390625,8220.8310546875,3755.873779296875,5355.47265625,6587.45751953125,7372.1455078125,4505.74853515625,7503.080078125,10611.388671875,12452.2958984375,-0.09517312573683823,0.33424250899973373,0.16642623306836868,0.11544790069286648,0.28093130763746244,0.2862301081040417,0.3244297704172864,0.31071307158011796,0.37920872345473455,0.3894540579121053,0.33981402933743,0.4079689747223604,97,0.3274402817976295,0.31387261762625795,54,0.31909208060943517,0.30511105655455906
es_nules_2026_0725,181,78,True,True,True,False,B2026,0.8987290435623497,mid,527.0277709960938,506.490478515625,496.3921813964844,341.6852722167969,421.96124267578125,535.7745971679688,515.7936401367188,429.5609436035156,554.5587158203125,568.8074951171875,494.841796875,472.6789245605469,538.9872436523438,600.8641967773438,661.3154296875,735.9334106445312,0.022188786092986024,0.21712202348901288,-0.028890242489695295,0.15706330776218624,0.10832664012679494,0.05335099317298009,0.2493866631373609,0.2200489857306771,0.2517310580386215,0.5357116998974831,0.4163046039351499,0.3577150898114896,42,0.07489448950164557,0.054931662117928104,36,0.5501091011052686,0.5046146826688582
es_penas_de_riglos_la_2026_0810,181,154,True,True,True,False,B2026,1.0888965078117283,high,785.9903564453125,953.5584716796875,964.5807495117188,987.193359375,520.888427734375,840.3850708007812,849.0318603515625,811.885986328125,596.294921875,711.038818359375,780.0151977539062,832.4381713867188,627.5396118164062,873.0993041992188,1110.2734375,1101.3609619140625,-0.25249520770533085,0.16995131793088025,0.04978919155552408,-0.0921535123135433,0.03746908655303771,0.18561518152678047,0.13122234853815573,0.23529480966118987,0.29745667021426314,0.10366047688911173,0.26283388062244095,0.24417316377364695,139,0.12479461248175361,0.23671650781259634,15,0.3721186318370573,0.18201078536800386
es_pinofranqueado_2026_0818,99,73,True,True,True,False,B2026,0.989243852357504,mid,87.96607971191406,63.23836898803711,40.304019927978516,34.822242736816406,105.67334747314453,57.85658645629883,76.82708740234375,38.82542419433594,105.2821273803711,77.50669860839844,76.10407257080078,92.52410125732422,160.4602813720703,219.99041748046875,244.29864501953125,240.1534423828125,0.45178907228798226,0.34143610761773213,0.34387421933876483,0.7125403473828511,0.7370040608180788,0.6476814786022229,0.835021516698317,0.6855197973111904,0.6884793504903951,0.8550000266858194,0.8383307613286386,0.6147292316974672,47,0.8316729393336886,0.634291711218194,26,0.8422812547284746,0.7965839367281025
es_san_bartolome_de_l_2026_0605,181,85,True,True,True,False,B2026,0.9935055068875079,mid,838.1982421875,911.5933837890625,922.453125,951.3108520507812,499.3526306152344,908.5575561523438,970.894775390625,987.259765625,706.9766845703125,945.7446899414062,993.138671875,942.0516357421875,786.2882080078125,1291.48583984375,1479.7847900390625,1522.4083251953125,-0.0660190928097597,0.364924177255024,0.10086826004735394,0.2941514682814088,0.2965021155305386,0.2677080454433578,0.37663021595481483,0.3438946109420439,0.3288627653425309,0.3751276603609377,0.35151447263772506,0.38120961364203654,59,0.3740938595398642,0.35085052535905414,26,0.38105756949076997,0.3317524338907356
es_soba_2026_0224,181,77,True,True,True,False,B2026,0.8993692188681125,mid,52.623287200927734,57.1348876953125,57.37688446044922,57.70896530151367,50.9142951965332,56.89434814453125,57.04338836669922,58.49483108520508,57.06201934814453,56.6293830871582,59.87069320678711,65.17749786376953,69.63636016845703,78.37142944335938,78.9922103881836,93.57142639160156,0.24431307044729278,0.2688547323069924,0.18057148291343728,0.27097300507189237,0.27404223007505624,0.27742311848368917,0.2736387021139467,0.27786058794434865,0.24206838987578028,0.3832629518759447,0.3748643860530565,0.3034465714886282,53,0.23137057182895404,0.242155274833029,24,0.325792281823703,0.32191638816071344
es_valdesamario_2026_0722,178,171,True,True,True,False,B2026,1.1908145119384634,high,773.0178833007812,842.990966796875,905.1536254882812,1084.789794921875,661.21728515625,842.6719360351562,926.1414184570312,900.5599365234375,746.7864379882812,891.4677734375,945.8689575195312,898.0028076171875,833.2660522460938,1149.0030517578125,1340.6363525390625,1267.1749267578125,0.07230364033541481,0.2064751907581992,0.1037839163430504,0.2663283482953176,0.2666060070545617,0.22413802811604366,0.3248328498820805,0.3091777522644449,0.294462696220248,0.14393050871246893,0.28931679635770124,0.2913347726072729,149,0.35199716606158615,0.31561121140193227,22,0.10057171035597234,0.2560648810151134
fr_montalba_le_chatea_2026_0704,181,122,True,True,True,False,B2026,0.8757566028968242,mid,264.0674743652344,309.77044677734375,308.1209716796875,292.6554260253906,212.75033569335938,312.11700439453125,351.6997375488281,320.7142639160156,249.9832763671875,353.5501403808594,383.0467834472656,317.4359436035156,321.0196533203125,563.0885009765625,690.4918823242188,506.1975402832031,0.1774102562445029,0.3372669445846118,0.22128357631189988,0.4498725400356962,0.44570524197665595,0.37212331672961074,0.5537659752891779,0.49065333488788443,0.44525519668976066,0.42185529810820843,0.3664246891903403,0.3729010547425433,87,0.51383847073396,0.4493941841680129,35,0.731153244220101,0.6739569943793435
fr_porge_2026_0722,178,93,True,True,True,False,B2026,0.8632206517901245,mid,1179.1021728515625,1721.3272705078125,2336.9365234375,1658.72314453125,617.3594970703125,1591.9075927734375,1149.1787109375,1178.4183349609375,882.4882202148438,1293.1119384765625,1348.71240234375,1142.285400390625,961.0989379882812,1414.2784423828125,1960.9990234375,2256.225830078125,-0.22682704792036645,0.357652503120506,0.08179253421919397,-0.2171063483140394,-0.12559701475145935,0.08567372610311841,-0.19170713269454187,0.4139830274249364,0.31223198674543573,0.2648239717768791,0.4777037301624487,0.49371849875902196,60,-0.10802372357809897,0.2273828157636626,33,-0.3000985880603906,0.6556773460090086
