event,block,n_windows,n_fire,evaluable,volatility_V,vol_tertile,MAE_B6_t1,MAE_B6_t3,MAE_B6_t6,MAE_B6_t12,MAE_M2_t1,MAE_M2_t3,MAE_M2_t6,MAE_M2_t12,MAE_M1_t1,MAE_M1_t3,MAE_M1_t6,MAE_M1_t12,MAE_B1_t1,MAE_B1_t3,MAE_B1_t6,MAE_B1_t12,SS_B6_t1,SS_M2_t1,SS_M1_t1,SS_B6_t3,SS_M2_t3,SS_M1_t3,SS_B6_t6,SS_M2_t6,SS_M1_t6,SS_B6_t12,SS_M2_t12,SS_M1_t12,n_fire_calm,SS_B6_t6_calm,SS_M2_t6_calm,SS_M1_t6_calm,n_fire_exc,SS_B6_t6_exc,SS_M2_t6_exc,SS_M1_t6_exc
dz_n_a_2026_0712,B2026,181,168,True,1.3411548544745207,high,337.25897216796875,446.1983947753906,446.1046447753906,438.80950927734375,445.13922119140625,481.9459533691406,474.8481140136719,463.1861877441406,400.982421875,465.1790466308594,450.4791564941406,442.122314453125,430.9297790527344,644.4571533203125,791.813720703125,809.46728515625,0.21736907365898894,-0.03297391554119766,0.06949474980254178,0.30763683438607425,0.2521675787349038,0.2781846795644878,0.4366040482611834,0.4003032511333473,0.4310793754696265,0.457903342946539,0.4277888727093737,0.4538107684391681,116,0.35540514066263784,0.2974564207062632,0.35629464550059486,52,0.5891135672895484,0.5934723828942781,0.5715416144019907
dz_n_a_2026_0716,B2026,178,117,True,1.2249649394510986,high,342.0430908203125,466.9498291015625,479.1996154785156,475.8930358886719,441.6139831542969,492.17376708984375,483.515380859375,481.91070556640625,441.8358154296875,521.1918334960938,497.5827941894531,468.70965576171875,508.9845886230469,714.3829345703125,841.3179931640625,755.4632568359375,0.32798929777885866,0.13236276102387956,0.1319269280333547,0.346359205259538,0.31105049788755557,0.27043073360986636,0.43041796398966525,0.4252881968672143,0.40856751165142235,0.37006461719683525,0.3620990813176479,0.37957319363910835,77,0.28016885584351214,0.2784202989735671,0.2692053219729672,40,0.6703931002847654,0.6598628910339686,0.6311542841108702
es_avila_2025_0808,A2025,349,47,True,1.4829332533307982,high,337.3424072265625,494.1378479003906,458.8996887207031,466.1400146484375,403.25653076171875,449.5977783203125,456.3972473144531,452.50506591796875,519.0062866210938,458.3915100097656,458.7488098144531,466.2638854980469,687.4786376953125,696.5595703125,757.031982421875,879.680908203125,0.5093048878471899,0.41342681990296215,0.24505830703191234,0.290602169633957,0.3545451136094393,0.3419205915093295,0.3938173031308342,0.3971228984879078,0.3940166063435826,0.47010329506798587,0.485603175312426,0.46996248167934207,34,0.07011395249547336,0.0702743591964754,0.08111267590535864,13,0.8874230613567733,0.8955251897833004,0.8711549822254814
es_buron_2025_0810,A2025,325,291,True,0.9895767329635048,mid,1844.075439453125,3242.206298828125,3530.025634765625,3755.2900390625,2501.000732421875,3070.4765625,3127.91796875,3452.528564453125,2197.504150390625,2875.598876953125,3246.2021484375,3470.96826171875,2260.1630859375,2691.775634765625,3167.1943359375,3750.01123046875,0.18409629334857702,-0.10655764089894304,0.027723192161102195,-0.20448608604425034,-0.14068814757190884,-0.06829069994294135,-0.11455921561590121,0.012400996914473827,-0.024945678767960278,-0.0014076780759642027,0.07932847336524906,0.07441123548718542,241,-0.10801047767886818,0.04258868675240546,-0.005737080072600875,50,-0.1385679961628219,-0.09827268276948975,-0.09536748266029749
es_caceres_2025_0808,A2025,349,107,True,0.9724523831731698,mid,1042.266357421875,1681.275146484375,2005.806396484375,1881.158447265625,1299.520263671875,1644.501708984375,1843.3677978515625,1756.94189453125,1153.1004638671875,1674.3831787109375,1910.576416015625,2001.2259521484375,1325.51953125,2246.42431640625,3179.951416015625,3703.762939453125,0.2136921917408563,0.019614397951274953,0.1300765951145335,0.2515772135274874,0.2679469782382028,0.2546451859150295,0.3692336347082985,0.42031573546452417,0.39918062697652323,0.49209534248879727,0.5256332753330403,0.45967763464798683,78,0.35965253938659314,0.4326996625768763,0.39546548159902783,29,0.3825006815497076,0.403167690206952,0.4043248608790071
es_carballeda_de_avia_2025_0815,A2025,181,104,True,0.8778904663446933,mid,211.79237365722656,441.9267272949219,627.8916625976562,613.6566772460938,451.7949523925781,581.2254638671875,651.4998779296875,624.583740234375,361.14251708984375,577.1534423828125,628.1140747070312,602.2650756835938,341.7259521484375,686.860595703125,967.2635498046875,995.866455078125,0.38022742397618936,-0.32209728161450646,-0.05681911139418583,0.3565990973138725,0.15379413595243585,0.15972259000824984,0.3508577236013475,0.32645050249103247,0.3506277840885643,0.38379621673475006,0.3728237987638846,0.39523510144103957,74,0.18824364968602658,0.1259724592872048,0.18145969056028222,30,0.5352705939385652,0.5538033712273353,0.5424732381542076
es_fermoselle_2026_0729,B2026,181,44,True,1.1132599295017709,high,59.727046966552734,50.614707946777344,56.124942779541016,56.90841293334961,55.45119857788086,54.85032653808594,55.017494201660156,55.6761474609375,73.14215850830078,56.55141830444336,56.562992095947266,56.31901550292969,58.2613639831543,51.13863754272461,58.2613639831543,58.2613639831543,-0.025157031747870207,0.04823377300411247,-0.2554144549284689,0.010245278738791996,-0.07258091286183244,-0.10584522822291764,0.036669604992959126,0.0556778894231188,0.0291509118752884,0.0232220970692667,0.04437274285175141,0.03333853427781441,37,0.04001050966594155,0.05568085765216879,0.02992799160988613,7,,,
es_gallardos_los_2026_0709,B2026,181,32,True,0.9332707535845413,mid,44.21124267578125,41.21187210083008,34.30087661743164,51.71025085449219,47.47027587890625,36.4058837890625,21.556583404541016,18.330713272094727,69.50321960449219,45.34511184692383,41.420555114746094,92.81153106689453,55.037498474121094,39.35625076293945,30.46875,27.368749618530273,0.1967069016305384,0.13749212455164528,-0.2628339138119249,-0.04714934227520495,0.07496565136878386,-0.1521705184789579,-0.12577236077724363,0.29250187800480765,-0.35944386017628216,-0.8893903293076009,0.3302319788959689,-2.3911498464677976,22,-0.600539578379067,-0.031196931666625183,-0.5592963312643533,10,0.5492321950229474,0.7527234201292279,-0.07530227876531526
es_llerena_2025_0814,A2025,205,41,True,1.2218125149885242,high,47.10041809082031,123.41071319580078,56.206138610839844,43.23637008666992,50.35606002807617,52.47611999511719,54.51755905151367,41.16529846191406,51.60824203491211,50.06835174560547,51.43136215209961,39.25083923339844,50.31219482421875,50.31219482421875,50.31219482421875,37.27804946899414,0.06383694340149093,-0.000871860271862035,-0.02576010081097646,-1.4528986188532298,-0.04300995371914862,0.004846599904162807,-0.11714741937244866,-0.0835853860478093,-0.022244454486452403,-0.1598345595477464,-0.1042771563504985,-0.052920949258494776,33,-0.2442694064641513,-0.11046023478001166,-0.020188138969024383,8,0.24642509202671203,-0.006722661242335004,-0.028125396174566886
es_luesia_2026_0715,B2026,178,134,True,0.9880532743729099,mid,458.6142272949219,695.5283203125,942.7732543945312,1248.6376953125,352.03253173828125,526.7113037109375,761.6262817382812,1635.6129150390625,420.4342346191406,635.2117309570312,743.3900756835938,796.1389770507812,534.800048828125,810.6044311523438,1147.3470458984375,1382.74560546875,0.14245664655443568,0.34174925281015056,0.2138478006118123,0.1419633379948999,0.3502240014131527,0.21637273799006596,0.1783015803589867,0.3361849106937954,0.3520791478558457,0.09698668332472293,-0.18287334168354885,0.4242332256186122,117,0.10914699999333477,0.2883252601122389,0.3068585863646166,17,0.6180562108554211,0.6405245559815032,0.6396372937593358
es_mierla_la_2026_0716,B2026,178,138,True,0.8186513902036804,low,2258.947509765625,5511.41357421875,5469.67041015625,6316.7353515625,4548.03759765625,5757.70947265625,5828.0341796875,6168.7412109375,3363.48681640625,4643.931640625,5500.4775390625,6016.4580078125,3793.322509765625,6007.443359375,7880.3349609375,8417.5068359375,0.40449368490284343,-0.19895885096710542,0.11331377499613993,0.08256919882268454,0.041570743455953574,0.2269703827705929,0.30590889381362796,0.260433191155347,0.301999525866839,0.2495716992359326,0.26715340644562047,0.2852446543760464,75,0.26856647513145804,0.2303254466813488,0.28680845732706794,63,0.33679051561194595,0.28533195740620787,0.31456250178941847
es_murias_de_paredes_2025_0821,A2025,181,169,True,0.7297570722110295,low,1492.0992431640625,2804.21875,3222.2666015625,3125.00341796875,2185.16943359375,2743.944580078125,3015.944580078125,2992.92578125,1771.6236572265625,2542.935302734375,2978.8095703125,3009.22119140625,1718.671630859375,2514.43408203125,3428.970703125,4341.24560546875,0.13182994565519257,-0.27142927965891617,-0.030809856528969615,-0.1152484648691412,-0.09127719819223423,-0.011335043899858732,0.060281676181753285,0.12045192531696547,0.1312817086486754,0.28015972788267873,0.3105836312325305,0.30683000574409414,135,0.11503748095662258,0.17577083008130834,0.18430809676487758,34,-0.3704357800553668,-0.31469359099763294,-0.28583081725238624
